user_id,total_tickets,booking_count,distinct_payment_methods,distinct_ip_addresses,payment_method,ip_address,is_fraudulent
user_039,34,6,3,3,debit_card,89.198.142.4,1
user_026,20,7,1,3,debit_card,32.57.206.79,0
user_000,14,5,1,1,credit_card,51.52.249.50,0
user_046,66,13,3,1,debit_card,172.66.239.22,1
user_003,20,8,1,3,debit_card,234.250.116.179,0
user_028,24,10,1,4,credit_card,117.40.232.18,0
user_043,39,16,2,5,debit_card,62.55.169.162,0
user_034,48,13,3,3,debit_card,233.237.31.92,1
user_030,22,7,1,2,credit_card,195.136.248.183,0
user_045,28,7,1,1,paypal,125.220.70.251,1
user_021,28,10,2,4,paypal,1.14.253.133,0
user_036,123,12,3,5,debit_card,230.110.155.224,1
user_048,39,15,2,5,paypal,248.221.213.153,0
user_008,24,12,2,4,debit_card,123.73.119.244,0
user_004,30,12,1,5,paypal,195.230.241.80,0
user_018,22,8,1,2,paypal,14.185.228.78,0
user_032,20,9,1,4,debit_card,246.18.61.98,0
user_001,38,15,2,4,paypal,195.169.150.165,0
user_024,121,7,3,5,debit_card,12.86.140.128,1
user_038,33,9,3,5,debit_card,199.212.129.157,1
user_042,43,14,3,5,debit_card,166.68.212.121,1
user_029,26,12,1,4,paypal,106.236.232.227,0
user_002,16,8,2,1,paypal,173.64.67.22,0
user_031,27,9,2,4,paypal,119.179.139.35,0
user_035,34,13,1,3,credit_card,112.18.43.213,0
user_040,32,12,2,2,debit_card,70.225.160.32,1
user_007,46,11,3,3,debit_card,28.31.234.17,1
user_025,30,11,1,2,credit_card,195.53.8.251,0
user_011,16,6,2,2,paypal,251.22.72.154,0
user_047,74,14,2,4,debit_card,45.205.89.166,1
user_041,53,14,2,3,paypal,42.20.50.190,1
user_023,25,10,3,1,debit_card,29.103.118.124,0
user_019,18,9,1,1,debit_card,73.15.82.180,0
user_009,33,10,2,5,debit_card,87.150.227.128,1
user_006,27,11,1,2,credit_card,120.226.181.99,0
user_033,39,14,3,3,debit_card,75.52.80.215,1
user_037,28,13,1,4,credit_card,192.95.9.192,0
user_017,12,4,1,1,debit_card,188.144.240.178,0
user_013,26,9,1,2,credit_card,87.87.199.99,0
user_020,54,13,2,2,debit_card,124.3.97.94,1
user_022,30,11,2,5,debit_card,57.18.90.187,0
user_016,147,11,3,5,debit_card,209.109.195.77,1
user_005,41,7,2,2,debit_card,93.157.140.191,1
user_014,15,6,2,1,paypal,25.159.61.209,0
user_010,47,8,2,3,paypal,134.141.252.170,1
user_012,13,5,2,3,debit_card,29.243.200.30,1
user_015,133,12,3,5,debit_card,115.82.219.130,1
user_049,46,10,2,5,debit_card,137.137.106.244,1
user_044,120,9,3,5,debit_card,132.241.205.92,1
user_027,7,3,2,1,paypal,122.78.7.67,1
